City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,sevsk,52.1491,34.4926,17.59,56,100,3.09,RU,2024-04-08
268,yeppoon,-23.1333,150.7333,20.88,85,24,2.43,AU,2024-04-08
269,queenstown,-31.8976,26.8753,16.03,88,100,1.0,ZA,2024-04-08
270,raton,36.9034,-104.4391,3.34,38,0,0.0,US,2024-04-08
271,prince george,53.9166,-122.753,2.36,94,100,6.17,CA,2024-04-08
272,santo antonio,-6.3106,-35.4789,31.7,61,69,5.66,BR,2024-04-08
273,atherton,53.5237,-2.4935,14.3,80,100,1.34,GB,2024-04-08
274,turi,40.9173,17.0212,23.58,46,20,2.81,IT,2024-04-08
275,rawson,-43.3002,-65.1023,19.27,62,100,2.31,AR,2024-04-08
276,piti village,13.4626,144.6933,27.16,83,51,7.33,GU,2024-04-08
277,puerto escondido,15.85,-97.0667,28.46,74,0,1.54,MX,2024-04-08
278,amga,60.8953,131.9608,-16.12,100,86,0.88,RU,2024-04-08
279,guamal,9.1433,-74.2238,34.71,52,92,1.9,CO,2024-04-08
280,marsh harbour,26.5412,-77.0636,21.06,55,74,6.49,BS,2024-04-08
281,warrenton,-28.114,24.8475,21.55,39,42,8.55,ZA,2024-04-08
282,sisimiut,66.9395,-53.6735,-4.73,76,72,3.14,GL,2024-04-08
283,tughyl,47.7252,84.2063,8.83,58,99,3.88,KZ,2024-04-08
284,flying fish cove,-10.4217,105.6791,26.82,89,100,3.6,CX,2024-04-08
285,veraval,20.9,70.3667,26.41,77,0,6.12,IN,2024-04-08
286,farsan,32.2569,50.561,14.85,39,2,1.95,IR,2024-04-08
287,pisco,-13.7,-76.2167,24.03,78,48,3.6,PE,2024-04-08
288,polican,40.6122,20.0981,21.41,50,0,4.3,AL,2024-04-08
289,richards bay,-28.783,32.0377,24.09,71,73,5.92,ZA,2024-04-08
290,okhotsk,59.3833,143.3,-1.46,97,100,2.54,RU,2024-04-08
291,katsuren-haebaru,26.3369,127.8719,22.43,95,100,4.12,JP,2024-04-08
292,carnarvon,-24.8667,113.6333,27.45,35,4,4.49,AU,2024-04-08
293,knysna,-34.0363,23.0471,18.54,92,95,1.5,ZA,2024-04-08
294,pierre,44.3683,-100.351,2.7,90,100,6.17,US,2024-04-08
295,upington,-28.4478,21.2561,19.21,39,75,8.23,ZA,2024-04-08
296,skeldon,5.8833,-57.1333,32.33,49,47,4.09,GY,2024-04-08
297,polyarnyy,69.1989,33.4478,-3.47,91,100,8.06,RU,2024-04-08
298,vila real de santo antonio,37.195,-7.4177,21.3,49,43,8.88,PT,2024-04-08
299,dymer,50.7865,30.3026,23.27,54,100,3.06,UA,2024-04-08
